instance,model,status,status_label,objective,best_bound,gap,sol_count,runtime_seconds,first_incumbent_time_seconds,wall_seconds,node_count,explored_nodes_log,simplex_iterations,barrier_iterations,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,presolve_time_seconds,presolve_rows_removed,presolve_cols_removed,cuts_total,cuts_breakdown,num_vars,num_bin_vars,num_int_vars,num_cont_vars,num_constrs,is_mip,error
Inst_21_Hard_Inspire_46,station_copies,9,TIME_LIMIT,16000.0,5000.0,0.6875,10,3601.7428121566772,1185.9384059906006,3623.571,9.0,9,131723.0,102,4161.201,5572,8.36,9.18,638388,306452,0,{},1000098,333374,333374,666724,1002570,True,
Inst_22_Hard_Phantom_46,station_copies,9,TIME_LIMIT,16200.0,2600.0,0.8395061728395061,10,3603.7641677856445,618.5911748409271,3631.581,15.0,15,127892.0,108,2556.768,6746,10.01,9.0,638388,306452,0,{},1000098,333374,333374,666724,1002570,True,
Inst_23_Hard_Inspire_46,station_copies,9,TIME_LIMIT,18000.0,4000.0,0.7777777777777778,10,3602.6080050468445,435.25567507743835,3630.048,15.0,15,311453.0,90,3952.801,6288,13.02,8.89,638388,306452,0,{},1000098,333374,333374,666724,1002570,True,
Inst_24_Hard_Phantom_46,station_copies,9,TIME_LIMIT,,2800.0,,0,3601.032613992691,,3627.356,10.0,10,92932.0,99,2632.229,6815,10.74,8.77,638388,306452,0,{},1000098,333374,333374,666724,1002570,True,
Inst_25_Hard_Inspire_46,station_copies,9,TIME_LIMIT,19000.0,4000.0,0.7894736842105263,10,3602.517565011978,382.2497568130493,3628.219,16.0,16,474143.0,99,3849.039,6018,8.71,9.1,638388,306452,0,{},1000098,333374,333374,666724,1002570,True,
