
Gurobi 13.0.1 (linux64) logging started Thu Apr 23 04:30:29 2026

Set parameter LogFile to value "experiments/20260422_213746/logs/Inst_07_Medium_Inspire_16__drone_index.log"
Set parameter LogToConsole to value 0
Set parameter TimeLimit to value 1800
Gurobi Optimizer version 13.0.1 build v13.0.1rc0 (linux64 - "Ubuntu 24.04.4 LTS")

CPU model: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads

Non-default parameters:
TimeLimit  1800
LogToConsole  0
LazyConstraints  1

Optimize a model with 14340 rows, 13716 columns and 65060 nonzeros (Min)
Model fingerprint: 0x6f3d710e
Model has 20 linear objective coefficients
Variable types: 6720 continuous, 6996 integer (6996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+04]
  Objective range  [1e+03, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]

Presolve removed 3200 rows and 1600 columns
Presolve time: 0.19s
Presolved: 11140 rows, 12116 columns, 56836 nonzeros
Variable types: 5120 continuous, 6996 integer (6996 binary)
Found heuristic solution: objective 28000.000000

Root relaxation: objective 2.019990e+03, 19992 iterations, 4.18 seconds (3.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1083  1014 5000.00000  102  349 7000.00000 2723.42516  61.1%   703  357s
  1084  1015 5000.00000   42  402 7000.00000 2723.42516  61.1%   702  361s
  1085  1015 5000.00000   45  336 7000.00000 2723.42516  61.1%   702  375s
  1086  1016 5000.00000  169  395 7000.00000 2723.42516  61.1%   701  380s
  1087  1017 3490.26876   12  278 7000.00000 2723.42516  61.1%   700  393s
  1088  1017 5000.00000  131  353 7000.00000 2723.42516  61.1%   700  400s
  1089  1018 5000.00000   36  360 7000.00000 2723.42516  61.1%   699  415s
  1090  1019 5000.00000   41  416 7000.00000 2723.42516  61.1%   699  422s
  1091  1019 5000.00000   25  427 7000.00000 2723.42516  61.1%   698  435s
  1095  1022 5000.00000  128  548 7000.00000 2723.42516  61.1%   695  440s
  1097  1023 5000.00000   51  525 7000.00000 2723.42516  61.1%   694  447s
  1100  1025 5000.00000   81  609 7000.00000 2723.42516  61.1%   692  450s
  1101  1026 5000.00000   67  649 7000.00000 2723.42516  61.1%   692  460s
  1105  1029 5000.00000  151  605 7000.00000 2723.42516  61.1%   689  484s
  1106  1029 5000.00000   24  619 7000.00000 2723.42516  61.1%   688  485s
  1109  1031 5000.00000   28  457 7000.00000 2725.02627  61.1%   687  492s
  1110  1032 5000.00000   93  690 7000.00000 2726.32989  61.1%   686  495s
  1113  1034 3498.96800    8  637 7000.00000 2727.12135  61.0%   684  535s
  1116  1036 5000.00000   93  592 7000.00000 2728.56876  61.0%   682  549s
  1119  1038 5000.00000  169  659 7000.00000 2728.64708  61.0%   680  559s
  1120  1039 3490.54623   15  237 7000.00000 2741.32735  60.8%   680  573s
  1122  1040 5000.00000   24  359 7000.00000 2741.38578  60.8%   679  577s
  1123  1041 5000.00000   24  327 7000.00000 2741.63472  60.8%   678  582s
  1126  1043 5000.00000  100  266 7000.00000 2741.70547  60.8%   676  586s
  1128  1044 5000.00000  213  349 7000.00000 2741.71920  60.8%   675  600s
  1130  1045 5000.00000   26  571 7000.00000 2741.72190  60.8%   674  605s
  1132  1047 5000.00000  172  285 7000.00000 2741.74156  60.8%   673  611s
  1137  1051 5000.00000   54  104 7000.00000 2741.74577  60.8%   941  615s
  1139  1052 5000.00000   18  132 7000.00000 2741.74577  60.8%   939  624s
  1140  1053 3490.54623   14  166 7000.00000 2741.74577  60.8%   939  635s
  1141  1054 5000.00000   78  274 7000.00000 2741.74577  60.8%   938  644s
  1142  1054 5000.00000  126  316 7000.00000 2741.74577  60.8%   937  650s
  1143  1055 5000.00000  163  298 7000.00000 2741.74577  60.8%   936  660s
  1145  1056 3506.21979    8  414 7000.00000 2741.74577  60.8%   934  666s
  1147  1058 3490.00458   11  499 7000.00000 2741.74577  60.8%   933  671s
  1148  1058 5000.00000   93  443 7000.00000 2741.74577  60.8%   932  675s
  1151  1060 5000.00000   36  515 7000.00000 2741.74577  60.8%   930  681s
  1152  1061 5000.00000  114  388 7000.00000 2741.74577  60.8%   929  695s
  1153  1062 5000.00000   28  431 7000.00000 2741.74577  60.8%   928  709s
  1154  1062 5000.00000   10  618 7000.00000 2741.74577  60.8%   927  736s
  1155  1063 5000.00000  219  376 7000.00000 2741.75533  60.8%   926  744s
  1156  1064 5000.00000   42  587 7000.00000 2741.78296  60.8%   926  745s
  1157  1064 5000.00000  110  428 7000.00000 2741.78645  60.8%   925  758s
