instance,model,status,status_label,objective,best_bound,gap,sol_count,runtime_seconds,first_incumbent_time_seconds,wall_seconds,node_count,explored_nodes_log,simplex_iterations,barrier_iterations,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,presolve_time_seconds,presolve_rows_removed,presolve_cols_removed,cuts_total,cuts_breakdown,num_vars,num_bin_vars,num_int_vars,num_cont_vars,num_constrs,is_mip,error
Inst_21_Hard_Inspire_46,station_copies,9,TIME_LIMIT,,5000.0,,0,3600.3500859737396,,3628.479,1.0,1,119505.0,33,4161.201,5568,10.85,10.76,638388,306452,111,"{""Cover"": 5, ""Implied bound"": 53, ""MIR"": 11, ""Flow cover"": 39, ""Zero half"": 2, ""PSD"": 1}",1000098,333374,333374,666724,1002570,True,
Inst_22_Hard_Phantom_46,station_copies,9,TIME_LIMIT,60000.0,3000.0,0.95,1,3600.1672389507294,3215.1193130016327,3627.966,1.0,1,136667.0,35,2556.768,6623,12.38,8.48,638388,306452,318,"{""Gomory"": 2, ""Cover"": 44, ""Implied bound"": 113, ""MIR"": 68, ""Flow cover"": 81, ""Zero half"": 6, ""RLT"": 4}",1000098,333374,333374,666724,1002570,True,
Inst_23_Hard_Inspire_46,station_copies,9,TIME_LIMIT,16000.0,5000.0,0.6875,4,3600.111557006836,193.8706760406494,3625.277,1.0,1,117944.0,28,3952.801,6263,15.39,8.48,638388,306452,383,"{""Gomory"": 1, ""Cover"": 59, ""Implied bound"": 131, ""MIR"": 58, ""Flow cover"": 129, ""Zero half"": 3, ""Network"": 1, ""Relax-and-lift"": 1}",1000098,333374,333374,666724,1002570,True,
Inst_24_Hard_Phantom_46,station_copies,9,TIME_LIMIT,58800.0,3200.0,0.9455782312925171,1,3600.2271749973297,3600.020164012909,3627.882,1.0,1,83886.0,32,2632.229,6830,12.07,8.5,638388,306452,105,"{""Cover"": 14, ""Implied bound"": 42, ""MIR"": 11, ""Flow cover"": 30, ""Zero half"": 6, ""Network"": 1, ""RLT"": 1}",1000098,333374,333374,666724,1002570,True,
Inst_25_Hard_Inspire_46,station_copies,9,TIME_LIMIT,88000.0,5000.0,0.9431818181818182,1,3600.209002971649,3323.362865924835,3622.925,1.0,1,114947.0,30,3849.039,5756,10.1,8.5,638388,306452,260,"{""Cover"": 5, ""Implied bound"": 78, ""MIR"": 74, ""Flow cover"": 94, ""Zero half"": 5, ""RLT"": 3, ""PSD"": 1}",1000098,333374,333374,666724,1002570,True,
