model,runs,solved_optimal,solved_with_incumbent,avg_objective,avg_best_bound,avg_gap,avg_runtime_seconds,avg_node_count,avg_root_relaxation_seconds,avg_root_relaxation_iterations,avg_cuts_total,avg_num_vars,avg_num_constrs
drone_index,25,4,13,5615.384615384615,3607.999999999994,0.23815604685170125,1593.5404864883424,33098.52,2.1872,10600.92,700.36,103416.0,105424.2
ribeiro,25,0,25,10392.0,496.00000001042486,0.9066962205162382,1800.0178017997741,721914.84,0.0188,511.72,203.68,1502.6,4786.0
station_copies,25,6,24,15033.333333333334,4008.0,0.41675931537238625,1458.6784092903138,21283.52,3.3287999999999998,6592.08,634.36,285621.2,286656.8
